Time,CellId,RNTI,BWPId,SINR(dB)
1.10293,2,2,0,75.0103
1.10293,4,3,0,0.927269
1.10386,4,4,0,16.4482
1.10386,4,3,0,0.266764
1.10393,2,5,0,73.3895
1.10393,2,4,0,81.4801
1.10393,2,3,0,71.546
1.10393,2,1,0,82.365
1.10429,4,5,0,78.0544
1.1045,4,4,0,81.998
1.10464,4,3,0,69.9852
1.10479,4,2,0,73.4222
1.10493,2,2,0,25.4978
1.10493,2,1,0,36.1425
1.10493,4,1,0,84.5668
1.10529,2,5,0,75.7946
1.1055,2,4,0,83.777
1.10564,2,3,0,73.5944
1.10579,2,2,0,74.6425
1.10593,4,4,0,34.1649
1.10593,2,1,0,85.1832
1.10629,4,5,0,79.0575
1.1065,4,4,0,82.9822
1.10664,4,3,0,71.2309
1.10679,4,2,0,73.7443
1.10693,2,3,0,24.6625
1.10693,4,1,0,85.6565
1.10729,2,5,0,76.4159
1.1075,2,4,0,84.0383
1.10764,2,3,0,74.0599
1.10779,2,2,0,75.0581
1.10793,4,3,0,22.6801
1.10793,2,1,0,85.5401
1.10829,2,5,0,74.5627
1.1085,2,4,0,82.5281
1.10864,2,3,0,72.4341
1.10879,2,2,0,73.4916
1.10893,4,4,0,34.041
1.10893,4,3,0,23.1322
1.10893,2,1,0,83.9521
1.10929,2,5,0,21.8434
1.10929,4,5,0,23.3107
1.1095,2,4,0,21.8382
1.1095,4,4,0,19.6718
1.10964,2,3,0,9.06034
1.10964,4,3,0,0.636896
1.10979,2,2,0,10.8463
1.10979,4,2,0,11.5003
1.10993,2,1,0,10.2467
1.10993,4,1,0,58.1952
1.11029,4,5,0,72.0973
1.11043,4,4,0,75.4493
1.11057,4,3,0,63.4572
1.11071,4,2,0,68.6946
1.11086,4,1,0,78.3537
1.11093,2,5,0,61.7113
1.11093,2,4,0,69.7945
1.11093,2,3,0,62.1689
1.11093,2,2,0,65.0087
1.11129,4,5,0,79.2126
1.1115,4,4,0,83.0103
1.11164,4,3,0,71.2325
1.11179,4,2,0,73.6888
1.11193,2,1,0,35.888
1.11193,4,1,0,85.6716
1.11229,2,5,0,21.8723
1.11229,4,5,0,23.5218
1.1125,2,4,0,21.8121
1.1125,4,4,0,19.6464
1.11264,2,3,0,9.10736
1.11264,4,3,0,0.679381
1.11279,2,2,0,10.8814
1.11279,4,2,0,11.4742
1.11293,2,1,0,10.2265
1.11293,4,1,0,58.1304
1.11329,4,5,0,72.3029
1.1135,4,4,0,75.3514
1.11364,4,3,0,63.4461
1.11379,4,2,0,68.6814
1.11393,2,5,0,28.2223
1.11393,2,4,0,34.3296
1.11393,2,3,0,24.7093
1.11393,2,1,0,34.8133
1.11393,4,1,0,78.192
1.11493,2,5,0,71.3835
1.11493,2,4,0,79.1718
1.11493,2,3,0,69.6446
1.11493,2,2,0,71.1783
1.11493,4,5,0,22.6144
1.11493,4,3,0,-0.377765
1.11493,4,2,0,7.9084
1.11593,2,2,0,9.45114
1.11593,2,1,0,7.32068
1.11593,4,5,0,77.5721
1.11593,4,4,0,80.2302
1.11593,4,3,0,68.4722
1.11593,4,2,0,71.2829
1.11629,2,5,0,75.6345
1.1165,2,4,0,83.6263
1.11664,2,3,0,73.5483
1.11679,2,2,0,74.56
1.11693,4,4,0,34.199
1.11693,2,1,0,84.8196
1.11793,2,5,0,19.9215
1.11793,2,4,0,18.9824
1.11793,2,2,0,10.1162
1.11793,2,1,0,6.18522
1.11793,4,5,0,23.24
1.11793,4,4,0,17.458
1.11793,4,3,0,-0.141993
1.11793,4,2,0,10.0357
1.11893,2,3,0,8.51642
1.11893,4,5,0,79.0037
1.11893,4,4,0,81.8872
1.11893,4,3,0,70.279
1.11893,4,2,0,72.9143
1.11993,2,5,0,74.0229
1.11993,2,4,0,81.5102
