Time,direction,frame,subF,slot,1stSym,nSymbol,cellId,bwpId,rnti,tbSize,mcs,rank,rv,SINR(dB),CQI,corrupt,TBler
1.02593,DL,102,5,0,11,2,3,0,1,1,16118,28,1,0,44.2076,0,0
1.02629,DL,102,6,0,1,3,1,0,5,5,19712,24,1,0,7.99627,1,1
1.02629,DL,102,6,0,1,3,3,0,5,5,10514,16,1,0,9.39961,0,0
1.0265,DL,102,6,0,4,3,1,0,4,4,19712,24,1,0,7.12894,1,1
1.0265,DL,102,6,0,4,3,3,0,4,4,6483,12,1,0,5.79174,0,0
1.02664,DL,102,6,0,7,2,1,0,3,3,13140,24,1,0,-5.56,1,1
1.02664,DL,102,6,0,7,2,3,0,3,3,13140,24,1,0,-13.9403,1,1
1.02679,DL,102,6,0,9,2,1,0,2,2,13140,24,1,0,-3.53782,1,1
1.02679,DL,102,6,0,9,2,3,0,2,2,1110,4,1,0,-1.87364,0,0
1.02693,DL,102,6,0,11,2,1,0,1,1,13140,24,1,0,-3.11394,1,1
1.02693,DL,102,6,0,11,2,3,0,1,1,16118,28,1,0,44.3453,0,0
1.02729,DL,102,7,0,1,3,1,0,5,5,19712,24,1,0,8.02285,1,1
1.02729,DL,102,7,0,1,3,3,0,5,5,10514,16,1,0,9.40326,0,0
1.0275,DL,102,7,0,4,3,1,0,4,4,19712,24,1,0,7.13992,1,1
1.0275,DL,102,7,0,4,3,3,0,4,4,6483,12,1,0,5.66658,0,0
1.02764,DL,102,7,0,7,2,1,0,3,3,13140,24,1,0,-5.64457,1,1
1.02764,DL,102,7,0,7,2,3,0,3,3,16118,28,1,0,-13.8972,1,1
1.02779,DL,102,7,0,9,2,1,0,2,2,13140,24,1,0,-3.61693,1,1
1.02779,DL,102,7,0,9,2,3,0,2,2,1110,4,1,0,-1.92199,0,0
1.02793,DL,102,7,0,11,2,1,0,1,1,13140,24,1,0,-3.06046,1,1
1.02793,DL,102,7,0,11,2,3,0,1,1,16118,28,1,0,44.1743,0,0
1.02829,DL,102,8,0,1,3,1,0,5,5,19712,24,1,0,7.87322,1,1
1.02829,DL,102,8,0,1,3,3,0,5,5,10514,16,1,0,9.38141,0,1.55431e-15
1.0285,DL,102,8,0,4,3,1,0,4,4,19712,24,1,0,7.30136,1,1
1.0285,DL,102,8,0,4,3,3,0,4,4,6483,12,1,0,5.8021,0,0
1.02864,DL,102,8,0,7,2,1,0,3,3,13140,24,1,0,-5.67969,1,1
1.02864,DL,102,8,0,7,2,3,0,3,3,13140,24,1,0,-13.8146,1,1
1.02879,DL,102,8,0,9,2,1,0,2,2,13140,24,1,0,-3.45597,1,1
1.02879,DL,102,8,0,9,2,3,0,2,2,1110,4,1,0,-1.98646,0,0
1.02893,DL,102,8,0,11,2,1,0,1,1,13140,24,1,0,-3.11691,1,1
1.02893,DL,102,8,0,11,2,3,0,1,1,16118,28,1,0,44.43,0,0
1.02993,DL,102,9,0,1,12,1,0,5,5,19712,24,1,1,59.5357,0,0
1.02993,DL,102,9,0,1,12,1,0,4,4,19712,24,1,1,71.2144,0,0
1.02993,DL,102,9,0,1,12,1,0,3,3,13140,24,1,1,60.1468,0,0
1.02993,DL,102,9,0,1,12,1,0,2,2,13140,24,1,1,62.6135,0,0
1.02993,DL,102,9,0,1,12,3,0,3,3,13140,24,1,1,-5.58146,1,1
1.03086,DL,103,0,0,1,11,3,0,3,3,13140,24,1,1,-6.54395,1,1
1.03093,DL,103,0,0,1,12,1,0,5,5,19712,24,1,1,59.4726,0,0
1.03093,DL,103,0,0,1,12,1,0,4,4,19712,24,1,1,71.488,0,0
1.03093,DL,103,0,0,1,12,1,0,3,3,13140,24,1,1,61.0348,0,0
1.03093,DL,103,0,0,1,12,1,0,1,1,13140,24,1,1,72.2399,0,0
1.03193,DL,103,1,0,1,12,1,0,5,5,19712,24,1,1,60.0523,0,0
1.03193,DL,103,1,0,1,12,1,0,4,4,19712,24,1,1,72.6938,0,0
1.03193,DL,103,1,0,1,12,1,0,2,2,13140,24,1,1,62.2158,0,0
1.03193,DL,103,1,0,1,12,1,0,1,1,13140,24,1,1,73.3477,0,0
1.03193,DL,103,1,0,1,12,3,0,3,3,13140,24,1,1,-5.14282,1,1
1.03293,DL,103,2,0,1,12,1,0,5,5,19712,24,1,1,59.4313,0,0
1.03293,DL,103,2,0,1,12,1,0,4,4,19712,24,1,1,71.2548,0,0
1.03293,DL,103,2,0,1,12,1,0,3,3,13140,24,1,1,60.1444,0,0
1.03293,DL,103,2,0,1,12,1,0,2,2,13140,24,1,1,62.5392,0,0
1.03293,DL,103,2,0,1,12,3,0,3,3,16118,28,1,1,-5.66336,1,1
1.03393,DL,103,3,0,1,12,1,0,5,5,19712,24,1,1,60.0746,0,0
1.03393,DL,103,3,0,1,12,1,0,4,4,19712,24,1,1,71.6391,0,0
1.03393,DL,103,3,0,1,12,1,0,3,3,13140,24,1,1,61.1775,0,0
1.03393,DL,103,3,0,1,12,1,0,1,1,13140,24,1,1,72.3119,0,0
1.03393,DL,103,3,0,1,12,3,0,3,3,13140,24,1,1,-6.16329,1,1
1.03493,DL,103,4,0,1,12,1,0,3,3,13140,24,1,1,63.3097,0,0
1.03493,DL,103,4,0,1,12,1,0,2,2,13140,24,1,1,65.1935,0,0
1.03493,DL,103,4,0,1,12,1,0,1,1,13140,24,1,1,-8.91996,1,1
1.03493,DL,103,4,0,1,12,3,0,3,3,13140,24,1,2,-8.38354,1,1
1.03593,DL,103,5,0,1,12,1,0,2,2,13140,24,1,1,-7.76315,1,1
1.03593,DL,103,5,0,1,12,1,0,1,1,13140,24,1,1,77.2381,0,0
1.03593,DL,103,5,0,1,12,3,0,3,3,13140,24,1,2,-9.13195,1,1
1.03629,DL,103,6,0,1,3,1,0,5,5,24179,28,1,0,62.6055,1,1
1.0365,DL,103,6,0,4,3,1,0,4,4,24179,28,1,0,70.5105,1,1
1.03664,DL,103,6,0,7,2,1,0,3,3,16118,28,1,0,59.6036,1,1
1.03679,DL,103,6,0,9,2,1,0,2,2,11390,22,1,0,60.8293,0,0
1.03693,DL,103,6,0,1,12,3,0,3,3,13140,24,1,2,16.5232,0,0.00506774
1.03693,DL,103,6,0,11,2,1,0,1,1,16118,28,1,0,71.6937,1,1
1.03729,DL,103,7,0,1,3,1,0,5,5,19712,24,1,0,62.6141,0,1.90514e-13
1.0375,DL,103,7,0,4,3,1,0,4,4,19712,24,1,0,70.4129,0,5.74474e-12
1.03764,DL,103,7,0,7,2,1,0,3,3,16118,28,1,0,59.637,1,1
1.03779,DL,103,7,0,9,2,1,0,2,2,11390,22,1,0,60.8365,0,0
1.03793,DL,103,7,0,1,12,3,0,3,3,16118,28,1,2,16.4496,0,0.0153595
1.03793,DL,103,7,0,11,2,1,0,1,1,11390,22,1,0,71.694,0,0
1.03829,DL,103,8,0,1,3,1,0,5,5,19712,24,1,0,62.6701,0,1.12355e-13
1.0385,DL,103,8,0,4,3,1,0,4,4,19712,24,1,0,70.3812,0,7.07101e-12
1.03864,DL,103,8,0,7,2,1,0,3,3,11390,22,1,0,59.574,0,0
1.03879,DL,103,8,0,9,2,1,0,2,2,11390,22,1,0,60.8955,0,0
1.03893,DL,103,8,0,1,12,3,0,3,3,13140,24,1,2,16.4022,0,0.141193
1.03893,DL,103,8,0,11,2,1,0,1,1,11390,22,1,0,71.671,0,0
1.03993,DL,103,9,0,1,12,1,0,1,1,13140,24,1,2,-3.14394,1,1
1.03993,DL,103,9,0,1,12,3,0,3,3,13140,24,1,3,-12.042,1,1
1.04093,DL,104,0,0,1,12,1,0,2,2,13140,24,1,2,-4.31862,1,1
1.04093,DL,104,0,0,1,12,3,0,3,3,13140,24,1,3,-12.5233,1,1
1.04129,DL,104,1,0,1,3,3,0,5,5,10514,16,1,0,57.921,0,3.10862e-15
1.04143,DL,104,1,0,4,2,3,0,4,4,4323,12,1,0,61.8643,0,0
1.04157,DL,104,1,0,6,2,3,0,3,3,466,0,1,0,49.4776,0,0
1.04171,DL,104,1,0,8,2,3,0,2,2,1110,4,1,0,55.0897,0,0
1.04186,DL,104,1,0,10,2,3,0,1,1,16118,28,1,0,64.7224,0,0
1.04193,DL,104,1,0,1,12,1,0,5,5,24179,28,1,1,52.4195,0,0
1.04193,DL,104,1,0,1,12,1,0,4,4,24179,28,1,1,61.698,0,0
1.04193,DL,104,1,0,1,12,1,0,3,3,16118,28,1,1,49.2254,0,0
1.04193,DL,104,1,0,1,12,1,0,1,1,16118,28,1,1,60.8212,0,0
1.04229,DL,104,2,0,1,3,3,0,5,5,10514,16,1,0,65.0167,0,0
1.0425,DL,104,2,0,4,3,3,0,4,4,6483,12,1,0,69.4718,0,0
1.04264,DL,104,2,0,7,2,3,0,3,3,13140,24,1,0,57.1656,0,6.11059e-07
