time(s)	cellId	rnti	lcid	packetSize
1.162	2	1	3	638
1.163	2	5	3	10511
1.163	2	4	3	8409
1.163	2	3	3	11387
1.163	2	2	3	1107
1.163	2	1	3	16115
1.165	2	5	3	10511
1.165	2	4	3	8409
1.165	2	3	3	638
1.165	2	2	3	2567
1.165	2	1	3	2567
1.165	4	5	3	10511
1.165	4	4	3	8409
1.165	4	3	3	463
1.165	4	2	3	1107
1.165	4	1	3	16115
1.167	2	5	3	10511
1.167	2	4	3	8409
1.167	2	3	3	638
1.167	2	2	3	1749
1.167	2	1	3	638
1.167	4	5	3	11824
1.167	4	4	3	8409
1.167	4	3	3	1107
1.167	4	2	3	1107
1.167	4	1	3	16115
1.169	2	5	3	10511
1.169	2	4	3	8409
1.169	2	3	3	1107
1.169	2	2	3	1107
1.169	2	1	3	1107
1.169	4	5	3	19709
1.169	4	4	3	24176
1.169	4	3	3	5604
1.169	4	2	3	7005
1.169	4	1	3	16115
1.171	4	5	3	10511
1.171	4	4	3	4320
1.171	4	3	3	463
1.171	4	2	3	1107
1.171	4	1	3	16115
1.173	2	5	3	10511
1.173	2	4	3	8409
1.173	2	3	3	638
1.173	2	2	3	1107
1.173	2	1	3	638
1.175	4	5	3	10511
1.175	4	4	3	6480
1.175	4	3	3	463
1.175	4	2	3	1107
1.175	4	1	3	16115
1.176	2	5	3	10511
1.176	2	4	3	8409
1.176	2	3	3	638
1.176	2	2	3	1107
1.176	2	1	3	638
1.176	4	5	3	10511
1.176	4	4	3	6480
1.176	4	3	3	638
1.176	4	2	3	1107
1.176	4	1	3	16115
1.177	2	5	3	10511
1.177	2	4	3	8409
1.177	2	3	3	638
1.177	2	2	3	14890
1.177	2	1	3	638
1.177	4	5	3	19709
1.177	4	4	3	19709
1.177	4	3	3	13137
1.177	4	2	3	13137
1.177	4	1	3	16115
1.178	2	5	3	10511
1.178	2	4	3	8409
1.178	2	3	3	638
1.178	2	2	3	2567
1.178	2	1	3	638
1.178	4	5	3	19709
1.178	4	4	3	17080
1.178	4	3	3	11387
1.178	4	2	3	13137
1.178	4	1	3	16115
1.179	2	5	3	19709
1.179	2	4	3	13137
1.179	2	3	3	13137
1.179	2	2	3	13137
1.179	2	1	3	13137
1.18	2	5	3	19709
1.18	2	4	3	19709
1.18	2	3	3	1749
1.18	2	2	3	13137
1.18	2	1	3	1749
1.18	4	5	3	14453
1.18	4	4	3	14453
1.18	4	3	3	5604
1.18	4	2	3	5604
1.18	4	1	3	16115
1.181	2	5	3	19709
1.181	2	4	3	19709
1.181	2	3	3	1749
1.181	2	2	3	13137
1.181	2	1	3	16115
1.184	4	5	3	10511
1.184	4	4	3	6480
1.184	4	3	3	463
1.184	4	2	3	1107
1.184	4	1	3	16115
1.186	4	5	3	10511
1.186	4	4	3	6480
1.186	4	3	3	463
1.186	4	2	3	1107
1.186	4	1	3	16115
1.187	4	5	3	10511
1.187	4	4	3	6480
1.187	4	3	3	13137
1.187	4	2	3	1107
1.187	4	1	3	16115
1.188	2	5	3	19709
1.188	2	4	3	19709
1.188	2	3	3	13137
1.188	2	2	3	3502
1.188	2	1	3	16115
1.188	4	5	3	19709
1.188	4	4	3	13137
1.188	4	3	3	11387
1.188	4	2	3	11387
1.188	4	1	3	16115
1.189	2	5	3	19709
1.189	2	4	3	19709
1.189	2	3	3	13137
1.189	2	2	3	3502
1.189	2	1	3	16115
1.191	2	5	3	10511
1.191	2	4	3	10511
1.191	2	3	3	638
1.191	2	2	3	7882
1.191	2	1	3	638
1.191	4	5	3	10511
1.191	4	4	3	5255
1.191	4	3	3	463
1.191	4	2	3	463
1.191	4	1	3	16115
1.192	2	5	3	10511
1.192	2	4	3	10511
1.192	2	3	3	638
1.192	2	2	3	14890
1.192	2	1	3	638
1.192	4	5	3	19709
1.192	4	4	3	19709
1.192	4	3	3	13137
1.192	4	2	3	13137
1.192	4	1	3	16115
1.194	4	5	3	10511
1.194	4	4	3	6480
1.194	4	3	3	7005
1.194	4	2	3	7882
1.194	4	1	3	16115
1.195	2	5	3	17080
1.195	2	4	3	17080
1.195	2	3	3	9634
1.195	2	2	3	9634
1.195	2	1	3	9634
1.198	2	5	3	10511
1.198	2	4	3	8409
1.198	2	3	3	638
1.198	2	2	3	1107
1.198	2	1	3	638
1.199	2	5	3	11824
1.199	2	4	3	8409
1.199	2	3	3	1107
1.199	2	2	3	1107
1.199	2	1	3	638
1.2	2	5	3	17080
1.2	2	4	3	24176
1.2	2	3	3	7882
1.2	2	2	3	1107
1.2	2	1	3	16115
1.2	4	5	3	11824
1.2	4	4	3	6480
1.2	4	3	3	638
1.2	4	2	3	1107
1.2	4	1	3	16115
1.201	2	5	3	19709
1.201	2	4	3	19709
1.201	2	3	3	13137
1.201	2	2	3	13137
1.201	2	1	3	13137
1.202	4	5	3	11824
1.202	4	4	3	6480
1.202	4	3	3	463
1.202	4	2	3	1107
1.202	4	1	3	16115
1.203	2	5	3	19709
1.203	2	4	3	8409
1.203	2	3	3	13137
1.203	2	2	3	1749
1.203	2	1	3	13137
1.203	4	5	3	14453
1.203	4	4	3	8409
1.203	4	3	3	1749
1.203	4	2	3	2567
1.203	4	1	3	16115
1.204	2	5	3	19709
1.204	2	4	3	19709
1.204	2	3	3	13137
1.204	2	2	3	13137
1.204	2	1	3	13137
1.204	4	5	3	14453
1.204	4	4	3	24176
1.204	4	3	3	1749
1.204	4	2	3	2567
1.204	4	1	3	16115
1.206	2	5	3	10511
1.206	2	4	3	8409
1.206	2	3	3	638
1.206	2	2	3	1107
1.206	2	1	3	638
1.206	4	5	3	10511
1.206	4	4	3	6480
1.206	4	3	3	463
1.206	4	2	3	1107
1.206	4	1	3	16115
1.207	2	5	3	19709
1.207	2	4	3	19709
1.207	2	3	3	13137
1.207	2	2	3	13137
1.207	2	1	3	13137
1.207	4	5	3	10511
1.207	4	4	3	6480
1.207	4	3	3	13137
1.207	4	2	3	1107
1.207	4	1	3	16115
1.215	2	5	3	8409
1.215	2	4	3	3502
1.215	2	3	3	638
1.215	2	2	3	1107
1.215	2	1	3	637
1.215	4	5	3	10511
1.215	4	4	3	3851
1.215	4	3	3	463
1.215	4	2	3	1107
1.215	4	1	3	16115
1.217	2	5	3	8409
1.217	2	4	3	9634
1.217	2	3	3	638
1.217	2	2	3	1107
1.217	2	1	3	463
1.218	4	5	3	10511
1.218	4	4	3	3851
1.218	4	3	3	463
1.218	4	2	3	1107
1.218	4	1	3	16115
1.22	2	5	3	19709
1.22	2	4	3	19709
1.22	2	3	3	638
1.22	2	2	3	1107
1.22	2	1	3	9634
1.22	4	5	3	10511
1.22	4	4	3	6480
1.22	4	3	3	638
1.22	4	2	3	2567
1.22	4	1	3	16115
1.222	2	5	3	10511
1.222	2	4	3	8409
1.222	2	3	3	9634
1.222	2	2	3	9634
1.222	2	1	3	463
1.222	4	5	3	10511
1.222	4	4	3	22335
1.222	4	3	3	463
1.222	4	2	3	9634
1.222	4	1	3	16115
1.223	2	5	3	19709
1.223	2	4	3	19709
1.223	2	3	3	13137
1.223	2	2	3	13137
1.223	2	1	3	13137
1.223	4	5	3	10511
1.223	4	4	3	22335
1.223	4	3	3	16115
1.223	4	2	3	9634
1.223	4	1	3	16115
1.224	2	5	3	19709
1.224	2	4	3	19709
1.224	2	3	3	14890
1.224	2	2	3	13137
1.224	2	1	3	13137
1.224	4	5	3	19709
1.224	4	4	3	19709
1.224	4	3	3	13137
1.224	4	2	3	13137
1.224	4	1	3	16115
1.226	2	5	3	7207
1.226	2	4	3	6480
1.226	2	3	3	638
1.226	2	2	3	1107
1.226	2	1	3	638
1.226	4	5	3	10511
1.226	4	4	3	6480
1.226	4	3	3	463
1.226	4	2	3	1107
1.226	4	1	3	16115
1.235	4	5	3	10511
1.235	4	4	3	3851
1.235	4	3	3	463
1.235	4	2	3	1107
1.235	4	1	3	16115
1.236	2	4	3	6480
1.236	2	3	3	961
1.236	2	2	3	3851
1.236	2	1	3	3851
1.237	4	5	3	10511
1.237	4	4	3	3851
1.237	4	3	3	463
1.237	4	2	3	1107
1.237	4	1	3	14599
1.238	2	4	3	6480
1.238	2	3	3	1661
1.238	2	2	3	2626
1.238	2	1	3	3851
1.24	2	4	3	8409
1.24	2	3	3	1661
1.24	2	2	3	2626
1.24	2	1	3	1661
1.24	4	5	3	10511
1.24	4	4	3	8409
1.24	4	3	3	2626
