% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
1.041	1	0	1	5	104	3	0	1	3	15	1	0	24	19712
1.041	1	0	2	4	104	3	0	4	3	15	1	0	24	19712
1.041	1	0	3	3	104	3	0	7	2	15	1	0	24	13140
1.041	1	0	4	2	104	3	0	9	2	14	1	0	24	13140
1.041	1	0	5	1	104	3	0	11	2	15	1	0	24	13140
1.041	3	0	6	5	104	3	0	1	3	13	1	0	16	10514
1.041	3	0	7	4	104	3	0	4	3	13	1	0	12	6483
1.041	3	0	8	3	104	3	0	7	2	15	1	0	24	13140
1.041	3	0	9	2	104	3	0	9	2	13	1	0	4	1110
1.041	3	0	10	1	104	3	0	11	2	13	1	0	28	16118
1.042	3	0	6	5	104	4	0	1	3	12	1	0	16	10514
1.042	3	0	7	4	104	4	0	4	3	12	1	0	12	6483
1.042	3	0	8	3	104	4	0	7	2	14	1	0	24	13140
1.042	3	0	9	2	104	4	0	9	2	12	1	0	4	1110
1.042	3	0	10	1	104	4	0	11	2	12	1	0	28	16118
1.043	3	0	6	5	104	5	0	1	3	11	1	0	16	10514
1.043	3	0	7	4	104	5	0	4	3	11	1	0	12	6483
1.043	3	0	8	3	104	5	0	7	2	13	1	0	0	466
1.043	3	0	9	2	104	5	0	9	2	11	1	0	4	1110
1.043	3	0	10	1	104	5	0	11	2	11	1	0	28	16118
1.044	1	0	1	5	104	6	0	1	3	14	1	0	24	19712
1.044	1	0	2	4	104	6	0	4	3	14	1	0	24	19712
1.044	1	0	3	3	104	6	0	7	2	14	1	0	24	13140
1.044	1	0	4	2	104	6	0	9	2	13	1	0	2	641
1.044	1	0	5	1	104	6	0	11	2	14	1	0	2	641
1.044	3	0	6	5	104	6	0	1	3	15	1	0	16	10514
1.044	3	0	7	4	104	6	0	4	3	15	1	0	12	6483
1.044	3	0	8	3	104	6	0	7	2	12	1	0	0	466
1.044	3	0	9	2	104	6	0	9	2	15	1	0	4	1110
1.044	3	0	10	1	104	6	0	11	2	15	1	0	28	16118
1.045	1	0	1	5	104	7	0	1	3	13	1	0	28	24179
1.045	1	0	2	4	104	7	0	4	3	13	1	0	28	24179
1.045	1	0	3	3	104	7	0	7	2	13	1	0	28	16118
1.045	1	0	4	2	104	7	0	9	2	12	1	0	2	641
1.045	1	0	5	1	104	7	0	11	2	13	1	0	28	16118
1.045	3	0	6	5	104	7	0	1	3	14	1	0	18	11827
1.045	3	0	7	4	104	7	0	4	3	14	1	0	12	6483
1.045	3	0	8	3	104	7	0	7	2	11	1	0	2	641
1.045	3	0	9	2	104	7	0	9	2	14	1	0	4	1110
1.045	3	0	10	1	104	7	0	11	2	14	1	0	28	16118
1.047	3	0	6	5	104	9	0	1	3	13	1	0	16	10514
1.047	3	0	7	4	104	9	0	4	3	13	1	0	12	6483
1.047	3	0	8	3	104	9	0	7	2	14	1	0	0	466
1.047	3	0	9	2	104	9	0	9	2	13	1	0	4	1110
1.047	3	0	10	1	104	9	0	11	2	13	1	0	28	16118
1.048	1	0	1	5	105	0	0	1	3	12	1	0	14	8412
1.048	1	0	2	4	105	0	0	4	3	12	1	0	14	8412
1.048	1	0	3	3	105	0	0	7	2	12	1	0	2	641
1.048	1	0	4	2	105	0	0	9	2	15	1	0	2	641
1.048	1	0	5	1	105	0	0	11	2	12	1	0	28	16118
1.048	3	0	6	5	105	0	0	1	3	12	1	0	24	19712
1.048	3	0	7	4	105	0	0	4	3	12	1	0	24	19712
1.048	3	0	8	3	105	0	0	7	2	13	1	0	24	13140
1.048	3	0	9	2	105	0	0	9	2	12	1	0	24	13140
