Time	CellId	RNTI	BWPId	SINR(dB)
1.40707	4	4	0	-2.66276
1.40707	4	3	0	-21.0897
1.40707	4	2	0	-4.87559
1.40707	4	1	0	28.4566
1.40807	2	5	0	11.2632
1.40807	2	4	0	4.67859
1.40807	2	3	0	7.84672
1.40807	2	2	0	4.48801
1.40807	2	1	0	-3.38396
1.40807	4	5	0	4.76732
1.40807	4	4	0	-2.44962
1.40807	4	3	0	-21.1075
1.40807	4	2	0	-5.02879
1.40807	4	1	0	28.6965
1.40907	2	5	0	11.2545
1.40907	2	4	0	4.74152
1.40907	2	3	0	8.8758
1.40907	2	2	0	4.37706
1.40907	2	1	0	-3.32195
1.40907	4	5	0	4.79295
1.40907	4	4	0	-2.38949
1.40907	4	3	0	-21.2495
1.40907	4	2	0	-4.96097
1.40907	4	1	0	27.9078
1.41007	2	5	0	11.2773
1.41007	2	4	0	4.56844
1.41007	2	3	0	7.70634
1.41007	2	2	0	4.20021
1.41007	2	1	0	-3.2657
1.41007	4	5	0	4.71602
1.41007	4	4	0	-2.27863
1.41007	4	3	0	-21.3086
1.41007	4	2	0	-4.93331
1.41007	4	1	0	29.8811
1.41107	2	5	0	11.1357
1.41107	2	4	0	4.53969
1.41107	2	3	0	6.86929
1.41107	2	2	0	4.11187
1.41107	2	1	0	-3.25738
1.41107	4	5	0	4.62178
1.41107	4	4	0	-2.19958
1.41107	4	3	0	-21.3748
1.41107	4	2	0	-4.6822
1.41107	4	1	0	27.63
1.41207	2	5	0	11.2256
1.41207	2	4	0	4.5624
1.41207	2	3	0	8.52394
1.41207	2	2	0	4.0346
1.41207	2	1	0	-3.27417
1.41207	4	5	0	4.66548
1.41207	4	4	0	-2.14696
1.41207	4	3	0	-21.2267
1.41207	4	2	0	-4.79081
1.41207	4	1	0	28.24
1.41307	2	5	0	11.2789
1.41307	2	4	0	4.48517
1.41307	2	3	0	7.16385
1.41307	2	2	0	4.0653
1.41307	2	1	0	-3.42522
1.41307	4	5	0	4.61246
1.41307	4	4	0	-2.02896
1.41307	4	3	0	-21.3809
1.41307	4	2	0	-4.77675
1.41307	4	1	0	29.4011
1.41407	2	5	0	11.1405
1.41407	2	4	0	4.44806
1.41407	2	3	0	6.89803
1.41407	2	2	0	4.10925
1.41407	2	1	0	-3.49644
1.41407	4	5	0	4.62638
1.41407	4	4	0	-2.01516
1.41407	4	3	0	-21.3484
1.41407	4	2	0	-4.87108
1.41407	4	1	0	28.868
1.41507	2	5	0	11.0094
1.41507	2	4	0	4.45497
1.41507	2	3	0	7.90842
1.41507	2	2	0	4.01835
1.41507	2	1	0	-3.44892
1.41507	4	5	0	4.6073
1.41507	4	4	0	-1.98285
1.41507	4	3	0	-21.431
1.41507	4	2	0	-4.98698
1.41507	4	1	0	28.737
1.41607	2	5	0	11.0206
1.41607	2	4	0	4.48587
1.41607	2	3	0	6.74079
1.41607	2	2	0	4.0644
1.41607	2	1	0	-3.40529
1.41607	4	5	0	4.7321
1.41607	4	4	0	-1.75999
1.41607	4	3	0	-21.5366
1.41607	4	2	0	-5.03537
1.41607	4	1	0	27.5756
1.41707	2	5	0	11.0471
1.41707	2	4	0	4.44798
1.41707	2	3	0	6.85018
1.41707	2	2	0	3.96622
1.41707	2	1	0	-3.44959
1.41707	4	5	0	4.76734
1.41707	4	4	0	-1.52425
1.41707	4	3	0	-21.3103
1.41707	4	2	0	-5.22024
1.41707	4	1	0	28.0331
1.41807	2	5	0	11.0997
1.41807	2	4	0	4.5819
1.41807	2	3	0	9.93328
1.41807	2	2	0	3.97543
1.41807	2	1	0	-3.38995
1.41807	4	5	0	4.61856
1.41807	4	4	0	-1.49682
1.41807	4	3	0	-21.1732
1.41807	4	2	0	-5.20463
1.41807	4	1	0	29.414
1.41907	2	5	0	11.0462
1.41907	2	4	0	4.47419
1.41907	2	3	0	6.36057
1.41907	2	2	0	3.9125
1.41907	2	1	0	-3.38208
1.41907	4	5	0	4.43657
1.41907	4	4	0	-1.45384
1.41907	4	3	0	-21.227
1.41907	4	2	0	-5.23804
1.41907	4	1	0	27.9786
1.42007	2	5	0	11.0636
1.42007	2	4	0	4.36554
